"Estimate"	"Std..Error"	"df"	"t.value"	"Pr...t.."
"projectsphinx-gallery:typeissue_post:author_groupnonmember:year2014"	0.069044207498091	0.0947665859812404	488909.104943318	0.728571223529765	0.466264335384953
"projectmatplotlib:typepr_post:author_groupnonmember:year2014"	0.0518305417797818	0.0136258348874273	425712.623416734	3.80384337605663	0.000142488162592786
"projectmayavi:typepr_post:author_groupnonmember:year2014"	0.0593067612784223	0.0488384564295022	505748.971022912	1.21434553043319	0.224616373012986
"projectnumpy:typepr_post:author_groupnonmember:year2014"	0.0415911981491247	0.0145049754225766	453892.32083159	2.86737460336466	0.00413911836809234
"projectpandas:typepr_post:author_groupnonmember:year2014"	0.0717355332753905	0.0112422917918714	462851.104400495	6.38086384906485	0.000000000176257219870086
"projectscikit-image:typepr_post:author_groupnonmember:year2014"	0.0702410093984124	0.0238582787215627	492840.753394635	2.94409375538604	0.00323916973644878
"projectscikit-learn:typepr_post:author_groupnonmember:year2014"	0.0381900915926753	0.0110787832645548	403524.325878373	3.44713771185144	0.000566617410616266
"projectscipy:typepr_post:author_groupnonmember:year2014"	0.0472059077929322	0.0152592090124716	499178.080113321	3.09360123151535	0.00197753992350872
"projectsphinx-gallery:typepr_post:author_groupnonmember:year2014"	0.0812743001254307	0.211295430084265	488593.117117795	0.384647694902906	0.700498619772436
"projectmatplotlib:typeissue_reply:author_groupnonmember:year2014"	0.140282274407608	0.00774592653318077	265163.216203459	18.1104576459239	0.000000000000000000000000000000000000000000000000000000000000000000000000291837017059875
"projectmayavi:typeissue_reply:author_groupnonmember:year2014"	0.150391953406133	0.0284956159056053	223549.794983561	5.27772250665934	0.000000130920906634089
"projectnumpy:typeissue_reply:author_groupnonmember:year2014"	0.15541536738716	0.00780404290298889	329626.654019119	19.9147248828728	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000341916361335706
"projectpandas:typeissue_reply:author_groupnonmember:year2014"	0.166913183158086	0.00546369190497395	174059.127001519	30.5495233005605	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200108972770999
"projectscikit-image:typeissue_reply:author_groupnonmember:year2014"	0.14958041757663	0.0160632874267142	391247.573986053	9.31194304148907	0.0000000000000000000126133129696589
"projectscikit-learn:typeissue_reply:author_groupnonmember:year2014"	0.144799812464075	0.00821838820714772	269764.815323174	17.6190037285095	0.0000000000000000000000000000000000000000000000000000000000000000000019262431659623
