"t_stats" "p_value"
"issue_reply:nonmember:scipyTRUE:year2016-issue_reply:nonmember:scipyFALSE:year2016" 0.0783871507284806 0.93752009431337
"pr_reply:nonmember:scipyTRUE:year2016-pr_reply:nonmember:scipyFALSE:year2016" 2.33511129608736 0.0195376073679663
"issue_post:member:scipyTRUE:year2017-issue_post:member:scipyFALSE:year2017" -3.15680739074194 0.00159506668286014
"pr_post:member:scipyTRUE:year2017-pr_post:member:scipyFALSE:year2017" -0.804022360894138 0.421384061096269
"issue_reply:member:scipyTRUE:year2017-issue_reply:member:scipyFALSE:year2017" -0.313073757149095 0.754224626363371
"pr_reply:member:scipyTRUE:year2017-pr_reply:member:scipyFALSE:year2017" 1.3268450725393 0.184559937192668
"issue_post:nonmember:scipyTRUE:year2017-issue_post:nonmember:scipyFALSE:year2017" 1.15273168156642 0.249020533423794
"pr_post:nonmember:scipyTRUE:year2017-pr_post:nonmember:scipyFALSE:year2017" 0.760104407099211 0.447192178549455
"issue_reply:nonmember:scipyTRUE:year2017-issue_reply:nonmember:scipyFALSE:year2017" 1.47819412012291 0.139355827274999
"pr_reply:nonmember:scipyTRUE:year2017-pr_reply:nonmember:scipyFALSE:year2017" 1.5384917712466 0.123928418978013
"issue_post:member:scipyTRUE:year2018-issue_post:member:scipyFALSE:year2018" -1.8216188919631 0.0685128323691291
"pr_post:member:scipyTRUE:year2018-pr_post:member:scipyFALSE:year2018" -1.36501250128734 0.172249120884555
"issue_reply:member:scipyTRUE:year2018-issue_reply:member:scipyFALSE:year2018" -1.96410049721159 0.0495184385795242
"pr_reply:member:scipyTRUE:year2018-pr_reply:member:scipyFALSE:year2018" 2.96395712884333 0.00303710595593709
"issue_post:nonmember:scipyTRUE:year2018-issue_post:nonmember:scipyFALSE:year2018" -1.15282431081536 0.248982503814498
"pr_post:nonmember:scipyTRUE:year2018-pr_post:nonmember:scipyFALSE:year2018" -0.560916776069122 0.574854273042466
"issue_reply:nonmember:scipyTRUE:year2018-issue_reply:nonmember:scipyFALSE:year2018" 2.63384240389792 0.00844246637182611
"pr_reply:nonmember:scipyTRUE:year2018-pr_reply:nonmember:scipyFALSE:year2018" 4.7303406902866 2.24143361848839e-06
"issue_post:nonmember:mayaviTRUE:year2011-issue_post:nonmember:mayaviFALSE:year2011" -0.659723472175682 0.509431301074074
"pr_post:nonmember:mayaviTRUE:year2011-pr_post:nonmember:mayaviFALSE:year2011" -1.30554068913519 0.191708801402293
"issue_reply:nonmember:mayaviTRUE:year2011-issue_reply:nonmember:mayaviFALSE:year2011" -2.57558961362955 0.0100069338494737
"pr_reply:nonmember:mayaviTRUE:year2011-pr_reply:nonmember:mayaviFALSE:year2011" 0.691845985420522 0.489034054503291
"issue_reply:member:mayaviTRUE:year2012-issue_reply:member:mayaviFALSE:year2012" 1.0266533696336 0.304583713811935
"issue_post:nonmember:mayaviTRUE:year2012-issue_post:nonmember:mayaviFALSE:year2012" -0.541715437126801 0.588014553579116
"pr_post:nonmember:mayaviTRUE:year2012-pr_post:nonmember:mayaviFALSE:year2012" -1.41889426395091 0.155929844855329
"issue_reply:nonmember:mayaviTRUE:year2012-issue_reply:nonmember:mayaviFALSE:year2012" -2.59123848705853 0.00956311935411724
